    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1847 andrei    20   0  235668   6208   5700 S   0.0   0.2   0:00.00 gdm-way+
   1851 andrei    20   0  309308   6236   5712 S   0.0   0.2   0:00.02 xdg-per+
   1855 andrei    20   0  298236  15092  13160 S   0.0   0.4   0:00.04 gnome-s+
   1873 root      20   0    2704   2020   1900 S   0.0   0.1   0:00.00 fusermo+
   1934 andrei    20   0  162652   6640   5944 S   0.0   0.2   0:00.00 gcr-ssh+
   1935 andrei    20   0   91548   5692   5236 S   0.0   0.1   0:00.00 gnome-s+
   1950 andrei    20   0  314256   7772   6852 S   0.0   0.2   0:00.07 gvfsd
   1957 andrei    20   0  459708   7168   6368 S   0.0   0.2   0:00.00 gvfsd-f+
   1963 andrei    20   0  733492  16740  13932 S   0.0   0.4   0:00.77 gnome-s+
   1995 andrei    20   0  382940   7828   7036 S   0.0   0.2   0:00.02 at-spi-+
   2005 andrei    20   0    9612   5284   4616 S   0.0   0.1   0:02.27 dbus-da+
   2078 andrei    20   0  236068   7500   6736 S   0.0   0.2   0:00.16 at-spi2+
   2100 andrei    20   0  654704  17616  15004 S   0.0   0.4   0:00.06 gnome-s+
   2107 andrei    20   0 1275100  40272  31928 S   0.0   1.0   0:00.16 evoluti+
   2120 andrei    20   0 2654508  19764  15048 S   0.0   0.5   0:00.09 gjs
   2124 andrei    32  12  462568  12584   6960 S   0.0   0.3   0:35.46 ibus-da+
   2128 andrei    20   0  383520   6684   6052 S   0.0   0.2   0:00.16 gsd-a11+
   2129 andrei    20   0  412932  17568  14568 S   0.0   0.4   0:00.32 gsd-col+
   2130 andrei    20   0  431668  11908  10544 S   0.0   0.3   0:00.15 gsd-dat+
   2133 andrei    20   0  458868   7868   7016 S   0.0   0.2   0:00.44 gsd-hou+
   2134 andrei    20   0  485512  17092  14172 S   0.0   0.4   0:00.30 gsd-key+
   2137 andrei    20   0  594172  22032  18208 S   0.0   0.5   0:00.47 gsd-med+
   2146 andrei    20   0  523552  21416  17452 S   0.0   0.5   0:00.63 gsd-pow+
   2149 andrei    20   0  323756  11672  10108 S   0.0   0.3   0:00.16 gsd-pri+
   2151 andrei    20   0  457352   6772   6072 S   0.0   0.2   0:00.16 gsd-rfk+
   2152 andrei    20   0  309560   6232   5672 S   0.0   0.2   0:00.15 gsd-scr+
   2153 andrei    20   0  543188  10756   9140 S   0.0   0.3   0:00.16 gsd-sha+
   2157 andrei    20   0  385820   7624   6652 S   0.0   0.2   0:00.15 gsd-sma+
   2160 andrei    20   0  393636   9012   7800 S   0.0   0.2   0:00.16 gsd-sou+
   2162 andrei    20   0  826132  55416  41776 S   0.0   1.4   0:00.41 evoluti+
   2163 andrei    20   0  305492   7376   6120 S   0.0   0.2   0:00.02 gsd-dis+
   2164 andrei    20   0  412768  17876  14428 S   0.0   0.4   0:00.32 gsd-wac+
   2246 andrei    20   0  546660  21596  17908 S   0.0   0.5   0:00.04 goa-dae+
   2316 andrei    20   0  389124   8936   7836 S   0.0   0.2   0:00.02 goa-ide+
   2335 andrei    20   0  890720  22588  19180 S   0.0   0.6   0:00.09 evoluti+
   2344 andrei    20   0  389192  10456   8716 S   0.0   0.3   0:00.16 gvfs-ud+
   2348 andrei    20   0  310464   7248   6552 S   0.0   0.2   0:00.00 ibus-dc+
   2349 andrei    20   0  421504  26956  15556 S   0.0   0.7   0:09.23 ibus-ex+
   2351 andrei    20   0  310424   7268   6608 S   0.0   0.2   0:00.05 ibus-po+
   2364 andrei    20   0  416236  14064  12040 S   0.0   0.4   0:00.02 gsd-pri+
   2381 andrei    20   0  389376   8188   7096 S   0.0   0.2   0:00.64 gvfs-af+
   2394 andrei    20   0  751588  28440  24380 S   0.0   0.7   0:00.06 evoluti+
   2397 andrei    20   0  310760   6920   6168 S   0.0   0.2   0:00.01 gvfs-gp+
   2405 andrei    20   0  309792   6636   6004 S   0.0   0.2   0:00.02 gvfs-mt+
   2414 andrei    20   0  309772   6624   5980 S   0.0   0.2   0:00.02 gvfs-go+
   2433 andrei    20   0  236768   7364   6540 S   0.0   0.2   0:09.53 ibus-en+
   2456 andrei    20   0  230240   5984   5376 S   0.0   0.1   0:00.03 dconf-s+
   2465 andrei    35  15 2402112 307120 101488 S   0.0   7.7   0:37.20 nautilus
   2466 andrei    20   0  609440   8764   7408 S   0.0   0.2   0:00.05 gvfsd-t+
   2488 andrei    20   0   39136   3704   2188 S   0.0   0.1   0:00.10 snapd-d+
   2489 andrei    20   0  701608  13600  10680 S   0.0   0.3   0:00.56 xdg-des+
   2570 andrei    20   0 3015532  54320  38364 S   0.0   1.4   0:03.47 gjs
   2572 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2602 andrei    20   0  429612  12424   3620 S   0.0   0.3   0:00.41 snapd-d+
   2622 andrei    39  19 1021316  35208  17868 S   0.0   0.9   0:31.59 tracker+
   2624 andrei    20   0 2190148 273488 106076 S   0.0   6.8   0:14.92 xdg-des+
   2652 andrei    20   0 2588952  19828  15108 S   0.0   0.5   0:00.09 gjs
   2669 andrei    20   0  236340   6616   6020 S   0.0   0.2   0:00.13 gvfsd-m+
   2670 andrei    20   0  417788  23220  16352 S   0.0   0.6   0:00.46 xdg-des+
   2723 andrei    20   0  388552   8732   7572 S   0.0   0.2   0:00.02 gvfsd-r+
   3713 andrei    20   0  491724  23820  16916 S   0.0   0.6   0:00.67 update-+
   3959 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
  19301 andrei    20   0 2146812 268180 101616 S   0.0   6.7  16:38.10 gnome-t+
  25082 andrei    20   0 1839628  11676   3648 S   0.0   0.3   0:00.38 snap
  28350 root      20   0       0      0      0 I   0.0   0.0   0:00.85 kworker+
  39520 andrei    20   0  120276   9380   5224 S   0.0   0.2   0:02.48 speech-+
  39533 andrei    20   0       0      0      0 Z   0.0   0.0   0:00.06 sd_espe+
  39536 andrei    20   0  107376  10128   6720 S   0.0   0.3   0:00.06 sd_espe+
  39573 andrei    20   0  162692   6324   5548 S   0.0   0.2   0:01.08 sd_dummy
  39607 andrei    20   0    5668   2680   2508 S   0.0   0.1   0:00.00 sd_open+
  91228 root      20   0       0      0      0 I   0.0   0.0   0:14.31 kworker+
  92099 root      20   0  480472  41488  35928 S   0.0   1.0   0:00.83 fwupd
 129462 root      20   0       0      0      0 I   0.0   0.0   0:14.87 kworker+
 227252 root      20   0       0      0      0 I   0.0   0.0   0:00.58 kworker+
 227289 root      20   0       0      0      0 I   0.0   0.0   0:38.20 kworker+
 229476 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
 273969 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 275472 root      20   0       0      0      0 I   0.0   0.0   0:03.07 kworker+
 338589 andrei    29   9  290076  83584  69256 S   0.0   2.1   0:09.42 Xwayland
 338594 andrei    20   0  626608  80568  64344 S   0.0   2.0   0:00.45 gsd-xse+
 338618 andrei    20   0  267252  24724  17820 S   0.0   0.6   0:00.32 ibus-x11
 338624 andrei    26   6 1523516 121704  87924 S   0.0   3.0   0:02.11 mutter-+
 353282 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 409204 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 409711 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
 409721 root      20   0       0      0      0 I   0.0   0.0   0:22.93 kworker+
 409854 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
 409924 andrei    20   0  555248  53788  42280 S   0.0   1.3   0:06.18 gnome-t+
 409932 andrei    20   0   11024   5256   3840 S   0.0   0.1   0:00.04 bash
 417382 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
 417658 root      20   0       0      0      0 I   0.0   0.0   0:00.66 kworker+
 419611 root      20   0       0      0      0 I   0.0   0.0   0:02.29 kworker+
 433281 root      20   0       0      0      0 I   0.0   0.0   0:05.11 kworker+
 433294 root      20   0       0      0      0 I   0.0   0.0   0:01.84 kworker+
 433311 andrei    20   0   12.0g 448132 167340 S   0.0  11.2   0:57.32 firefox
 433380 andrei    20   0 1066672   3264   2824 S   0.0   0.1   0:00.00 crashhe+
 433476 andrei    20   0 1350124  35100  26084 S   0.0   0.9   0:00.06 forkser+
 433481 andrei    20   0 1364564  39604  29572 S   0.0   1.0   0:00.05 Socket +
 433504 andrei    20   0 3545720 134920  83072 S   0.0   3.4   0:02.95 Privile+
 433515 andrei    20   0 1497564  46272  34324 S   0.0   1.2   0:00.05 RDD Pro+
 433712 andrei    20   0 3525624  99212  66580 S   0.0   2.5   0:01.30 WebExte+
 434041 andrei    20   0 1363536  35980  26040 S   0.0   0.9   0:00.03 Utility+
 434049 andrei    20   0 3726412 279676  92332 S   0.0   7.0   0:28.40 Isolate+
 434052 andrei    20   0 3482208  69044  53956 S   0.0   1.7   0:00.18 Web Con+
 434063 andrei    20   0 3482204  69276  53900 S   0.0   1.7   0:00.60 Web Con+
 434289 andrei    20   0 3482968  69072  54204 S   0.0   1.7   0:00.16 Web Con+
 434344 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 434372 andrei    20   0  462192   8948   7840 S   0.0   0.2   0:00.04 gvfsd-n+
 434381 andrei    20   0  390548   9124   8040 S   0.0   0.2   0:00.02 gvfsd-d+
 434475 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 434504 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 434557 andrei    20   0   10072   3736   3376 S   0.0   0.1   0:00.02 watchdo+
 434569 andrei    23   3   44880  24824  14240 S   0.0   0.6   0:01.08 python3
 434571 andrei    39  19  474360  30496  24740 S   0.0   0.8   0:00.25 tracker+
 436943 andrei    20   0    8320   2016   1904 S   0.0   0.1   0:00.00 tail
